squad,player,CalcedPosition
Alavés,Adrián Marín,CB
Alavés,Aleix Vidal,AM
Alavés,Borja Sainz,WF
Alavés,Joselu,CF
Alavés,Lisandro Magallán,CB
Alavés,Ljubomir Fejsa,DM
Alavés,Lucas Pérez,CF
Alavés,Luis Rioja,DM
Alavés,Manu García,DM
Alavés,Martin Agirregabiria,FB
Alavés,Oliver Burke,WF
Alavés,Pere Pons,DM
Alavés,Rodrigo Ely,CB
Alavés,Rubén Duarte,FB
Alavés,Tomás Pina Isla,DM
Alavés,Víctor Camarasa,DM
Alavés,Víctor Laguardia,CB
Alavés,Wakaso,DM
Alavés,Ximo Navarro,CB
Alavés,Édgar Méndez,DM
Amiens,Alexis Blin,DM
Amiens,Arturo Calabresi,FB
Amiens,Aurélien Chedjou,CB
Amiens,Bakaye Dibassy,CB
Amiens,Bongani Zungu,DM
Amiens,Chadrac Akolo,WF
Amiens,Christophe Jallet,DM
Amiens,Eddy Gnahoré,DM
Amiens,Fousseni Diabaté,DM
Amiens,Gaël Kakuta,AM
Amiens,Haitam Aleesami,DM
Amiens,Jordan Lefort,CB
Amiens,Juan Ferney Otero,DM
Amiens,Moussa Konaté,CF
Amiens,Sehrou Guirassy,CF
Amiens,Stiven Mendoza,WF
Amiens,Thomas Monconduit,DM
Angers,Abdoulaye Bamba,FB
Angers,Angelo Fulgini,WF
Angers,Antonin Bobichon,CF
Angers,Baptiste Santamaria,DM
Angers,Casimir Ninga,WF
Angers,Ismaël Traoré,CB
Angers,Mateo Pavlović,CB
Angers,Mathias Pereira Lage,AM
Angers,Pierrick Capelle,DM
Angers,Rachid Alioui,CF
Angers,Rayan Aït Nouri,FB
Angers,Romain Thomas,CB
Angers,Sada Thioub,DM
Angers,Stéphane Bahoken,CF
Angers,Thomas Mangani,DM
Angers,Vincent Manceau,FB
Arsenal,Ainsley Maitland-Niles,FB
Arsenal,Alexandre Lacazette,CF
Arsenal,Bukayo Saka,FB
Arsenal,Calum Chambers,CB
Arsenal,Dani Ceballos,AM
Arsenal,David Luiz,CB
Arsenal,Eddie Nketiah,WF
Arsenal,Granit Xhaka,DM
Arsenal,Héctor Bellerín,FB
Arsenal,Joe Willock,WF
Arsenal,Kieran Tierney,FB
Arsenal,Lucas Torreira,DM
Arsenal,Martinelli,WF
Arsenal,Mattéo Guendouzi,DM
Arsenal,Mesut Özil,AM
Arsenal,Nicolas Pépé,WF
Arsenal,Pierre-Emerick Aubameyang,CF
Arsenal,Reiss Nelson,WF
Arsenal,Rob Holding,FB
Arsenal,Sead Kolašinac,FB
Arsenal,Shkodran Mustafi,CB
Arsenal,Sokratis Papastathopoulos,CB
Aston Villa,Ahmed Elmohamady,FB
Aston Villa,Anwar El Ghazi,WF
Aston Villa,Björn Engels,CB
Aston Villa,Conor Hourihane,FB
Aston Villa,Douglas Luiz,DM
Aston Villa,Ezri Konsa,DM
Aston Villa,Frederic Guilbert,FB
Aston Villa,Jack Grealish,WF
Aston Villa,John McGinn,CF
Aston Villa,Keinan Davis,CF
Aston Villa,Kortney Hause,CB
Aston Villa,Marvelous Nakamba,DM
Aston Villa,Matt Targett,FB
Aston Villa,Mbwana Samatta,CF
Aston Villa,Neil Taylor,CB
Aston Villa,Trézéguet,CF
Aston Villa,Tyrone Mings,CB
Aston Villa,Wesley Moraes,CF
Atalanta,Berat Djimsiti,CB
Atalanta,Duván Zapata,CF
Atalanta,Hans Hateboer,FB
Atalanta,Josip Iličić,WF
Atalanta,José Luis Palomino,AM
Atalanta,Luis Muriel,WF
Atalanta,Mario Pašalić,WF
Atalanta,Marten de Roon,AM
Atalanta,Mattia Caldara,AM
Atalanta,Papu Gómez,WF
Atalanta,Rafael Tolói,DM
Atalanta,Remo Freuler,DM
Atalanta,Robin Gosens,AM
Atalanta,Ruslan Malinovskyi,AM
Atalanta,Timothy Castagne,FB
Athletic Club,Ander Capa,FB
Athletic Club,Asier Villalibre,WF
Athletic Club,Dani García,DM
Athletic Club,Ibai Gómez,WF
Athletic Club,Iker Muniain,WF
Athletic Club,Iñaki Williams,WF
Athletic Club,Iñigo Córdoba,AM
Athletic Club,Iñigo Lekue,DM
Athletic Club,Iñigo Martínez,CB
Athletic Club,Mikel Balenziaga,FB
Athletic Club,Mikel Vesga,DM
Athletic Club,Oihan Sancet,AM
Athletic Club,Raúl García,WF
Athletic Club,Unai López,DM
Athletic Club,Unai Núñez,CB
Athletic Club,Yeray Álvarez,CB
Athletic Club,Yuri Berchiche,FB
Athletic Club,Óscar de Marcos,FB
Atlético Madrid,Diego Costa,CF
Atlético Madrid,Felipe,CB
Atlético Madrid,Héctor Herrera,DM
Atlético Madrid,José María Giménez,CB
Atlético Madrid,João Félix,CF
Atlético Madrid,Kieran Trippier,FB
Atlético Madrid,Koke,DM
Atlético Madrid,Marcos Llorente,AM
Atlético Madrid,Mario Hermoso,CB
Atlético Madrid,Renan Lodi,FB
Atlético Madrid,Santiago Arias,FB
Atlético Madrid,Saúl Ñíguez,DM
Atlético Madrid,Stefan Savić,CB
Atlético Madrid,Thomas Lemar,DM
Atlético Madrid,Thomas Partey,AM
Atlético Madrid,Vitolo,WF
Atlético Madrid,Yannick Carrasco,CF
Atlético Madrid,Álvaro Morata,WF
Atlético Madrid,Ángel Correa,CF
Augsburg,Alfreð Finnbogason,CF
Augsburg,André Hahn,CF
Augsburg,Carlos Gruezo,DM
Augsburg,Daniel Baier,DM
Augsburg,Eduard Löwen,DM
Augsburg,Florian Niederlechner,CF
Augsburg,Fredrik Jensen,AM
Augsburg,Iago,DM
Augsburg,Jan Morávek,DM
Augsburg,Marco Richter,CF
Augsburg,Ohis Felix Uduokhai,CB
Augsburg,Philipp Max,FB
Augsburg,Rani Khedira,DM
Augsburg,Raphael Framberger,FB
Augsburg,Ruben Vargas,WF
Augsburg,Stephan Lichtsteiner,FB
Augsburg,Tin Jedvaj,CB
Barcelona,Ansu Fati,WF
Barcelona,Antoine Griezmann,AM
Barcelona,Arthur Melo,AM
Barcelona,Arturo Vidal,WF
Barcelona,Carles Pérez,WF
Barcelona,Clément Lenglet,CB
Barcelona,Frenkie de Jong,DM
Barcelona,Gerard Piqué,CB
Barcelona,Ivan Rakitić,DM
Barcelona,Jordi Alba,FB
Barcelona,Junior Firpo,DM
Barcelona,Lionel Messi,WF
Barcelona,Luis Suárez,CF
Barcelona,Nélson Semedo,DM
Barcelona,Riqui Puig,AM
Barcelona,Sergi Roberto,FB
Barcelona,Sergio Busquets,AM
Bayern Munich,Alphonso Davies,FB
Bayern Munich,Benjamin Pavard,FB
Bayern Munich,Corentin Tolisso,AM
Bayern Munich,David Alaba,FB
Bayern Munich,Ivan Perišić,AM
Bayern Munich,Javi Martínez,CB
Bayern Munich,Joshua Kimmich,AM
Bayern Munich,Jérôme Boateng,CB
Bayern Munich,Kingsley Coman,WF
Bayern Munich,Leon Goretzka,AM
Bayern Munich,Lucas Hernández,CB
Bayern Munich,Niklas Süle,CB
Bayern Munich,Philippe Coutinho,AM
Bayern Munich,Robert Lewandowski,CF
Bayern Munich,Serge Gnabry,WF
Bayern Munich,Thiago Alcántara,AM
Bayern Munich,Thomas Müller,AM
Betis,Alfonso Pedraza,FB
Betis,Andrés Guardado,DM
Betis,Antonio Barragán,FB
Betis,Aïssa Mandi,CB
Betis,Borja Iglesias,CF
Betis,Carles Aleñá,WF
Betis,Cristian Tello,WF
Betis,Emerson,FB
Betis,Guido Rodríguez,AM
Betis,Joaquín,WF
Betis,Loren Morón,CF
Betis,Marc Bartra,CB
Betis,Nabil Fekir,WF
Betis,Sergio Canales,FB
Betis,Sidnei,CB
Betis,William Carvalho,DM
Betis,Zouhair Feddal,CB
Betis,Álex Moreno,FB
Betis,Édgar González,WF
Bologna,Andrea Poli,DM
Bologna,Andreas Skov Olsen,WF
Bologna,Blerim Džemaili,DM
Bologna,Danilo Larangeira,CB
Bologna,Federico Santander,CF
Bologna,Gary Medel,DM
Bologna,Ibrahima Mbaye,FB
Bologna,Jerdy Schouten,DM
Bologna,Ladislav Krejčí,DM
Bologna,Mattia Bani,CB
Bologna,Mattias Svanberg,WF
Bologna,Musa Barrow,WF
Bologna,Nicola Sansone,WF
Bologna,Nicolás Domínguez,DM
Bologna,Riccardo Orsolini,WF
Bologna,Roberto Soriano,WF
Bologna,Rodrigo Palacio,CF
Bologna,Stefano Denswil,DM
Bologna,Takehiro Tomiyasu,FB
Bordeaux,Aurélien Tchouaméni,DM
Bordeaux,Enock Kwateng,DM
Bordeaux,François Kamano,WF
Bordeaux,Hwang Ui-jo,CF
Bordeaux,Jimmy Briand,CF
Bordeaux,Josh Maja,CF
Bordeaux,Laurent Koscielny,CB
Bordeaux,Loris Benito,FB
Bordeaux,Mexer,CB
Bordeaux,Nicolas de Préville,WF
Bordeaux,Otávio,DM
Bordeaux,Pablo,CB
Bordeaux,Remi Oudin,WF
Bordeaux,Samuel Kalu,CF
Bordeaux,Toma Bašić,AM
Bordeaux,Yacine Adli,AM
Bordeaux,Youssef Aït Bennasser,AM
Bordeaux,Youssouf Sabaly,FB
Bournemouth,Adam Smith,FB
Bournemouth,Arnaut Groeneveld,WF
Bournemouth,Callum Wilson,CF
Bournemouth,Chris Mepham,AM
Bournemouth,Dan Gosling,WF
Bournemouth,David Brooks,CF
Bournemouth,Diego Rico,FB
Bournemouth,Dominic Solanke,WF
Bournemouth,Harry Wilson,CF
Bournemouth,Jack Stacey,FB
Bournemouth,Jefferson Lerma,DM
Bournemouth,Joshua King,WF
Bournemouth,Junior Stanislas,DM
Bournemouth,Lewis Cook,DM
Bournemouth,Lloyd Kelly,FB
Bournemouth,Nathan Aké,CB
Bournemouth,Philip Billing,DM
Bournemouth,Ryan Fraser,WF
Bournemouth,Simon Francis,FB
Bournemouth,Steve Cook,CB
Brescia,Alessandro Semprini,FB
Brescia,Aleš Matějů,FB
Brescia,Alfredo Donnarumma,CF
Brescia,Andrea Cistana,CB
Brescia,Andrea Papetti,CB
Brescia,Birkir Bjarnason,AM
Brescia,Bruno Martella,FB
Brescia,Daniele Dessena,DM
Brescia,Dimitri Bisoli,DM
Brescia,Emanuele Ndoj,WF
Brescia,Ernesto Torregrossa,CF
Brescia,Florian Ayé,CF
Brescia,Jaromír Zmrhal,DM
Brescia,Jhon Chancellor,CB
Brescia,Mario Balotelli,CF
Brescia,Massimiliano Mangraviti,FB
Brescia,Nikolas Špalek,WF
Brescia,Rômulo,DM
Brescia,Sandro Tonali,AM
Brescia,Stefano Sabelli,DM
Brest,Alexandre Mendy,CF
Brest,Brendan Chardonnet,CB
Brest,Cristian Battocchio,DM
Brest,Dénys Bain,CB
Brest,Gaëtan Belaud,FB
Brest,Gaëtan Charbonnier,WF
Brest,Haris Belkebla,DM
Brest,Ibrahima Diallo,DM
Brest,Irvin Cardona,WF
Brest,Jean-Charles Castelletto,CB
Brest,Jean-Kevin Duverne,CB
Brest,Julien Faussurier,FB
Brest,Ludovic Baal,DM
Brest,Mathias Autret,AM
Brest,Paul Lasne,DM
Brest,Romain Perraud,FB
Brest,Samuel Grandsir,WF
Brest,Yoann Court,AM
Brighton,Aaron Connolly,CF
Brighton,Aaron Mooy,DM
Brighton,Adam Webster,CB
Brighton,Bernardo,FB
Brighton,Dale Stephens,DM
Brighton,Dan Burn,FB
Brighton,Davy Pröpper,DM
Brighton,Glenn Murray,CF
Brighton,Leandro Trossard,CF
Brighton,Lewis Dunk,CB
Brighton,Martín Montoya,DM
Brighton,Neal Maupay,CF
Brighton,Pascal Groß,AM
Brighton,Shane Duffy,CB
Brighton,Solly March,FB
Brighton,Steven Alzate,DM
Brighton,Tariq Lamptey,FB
Brighton,Yves Bissouma,DM
Burnley,Aaron Lennon,DM
Burnley,Ashley Barnes,CF
Burnley,Ashley Westwood,DM
Burnley,Ben Mee,CB
Burnley,Charlie Taylor,FB
Burnley,Chris Wood,CF
Burnley,Dwight McNeil,AM
Burnley,Erik Pieters,FB
Burnley,Jack Cork,DM
Burnley,James Tarkowski,CB
Burnley,Jay Rodriguez,CF
Burnley,Jeff Hendrick,DM
Burnley,Josh Brownhill,DM
Burnley,Jóhann Berg Guðmundsson,CF
Burnley,Kevin Long,CB
Burnley,Matěj Vydra,CF
Burnley,Phil Bardsley,FB
Cagliari,Artur Ioniță,DM
Cagliari,Charalambos Lykogiannis,CB
Cagliari,Christian Oliva,CB
Cagliari,Fabio Pisacane,CB
Cagliari,Fabrizio Cacciatore,FB
Cagliari,Federico Mattiello,FB
Cagliari,Giovanni Simeone,CF
Cagliari,João Pedro,CF
Cagliari,Luca Ceppitelli,CB
Cagliari,Luca Cigarini,FB
Cagliari,Luca Pellegrini,FB
Cagliari,Lucas Castro,DM
Cagliari,Marko Rog,DM
Cagliari,Nahitan Nández,DM
Cagliari,Paolo Faragò,DM
Cagliari,Radja Nainggolan,FB
Cagliari,Ragnar Klavan,CB
